customer_key,customer_id,age,gender,state,city,customer_type,customer_segment,loan_type,customer_since_date,age_group,region
1031,8a23755f-8382-4c6b-859c-b909d8a8ec74,32,F,Telangana,Hyderabad,Corporate,Mass,Home Loan,2022-05-25,26-35,South
1032,d6aa840a-69ef-45f3-99e0-9f9957177fa6,40,M,Maharashtra,Pune,Retail,Mass,Credit Card,2024-02-01,36-45,West
1033,3ac6db99-0563-4597-9620-97a041bc3cb6,57,F,Telangana,Hyderabad,Retail,Mass,Credit Card,2023-02-06,56-65,South
1034,c2ac6792-ae38-480d-b81a-37061b653b7b,40,M,Gujarat,Ahmedabad,Retail,Mass,Personal Loan,2024-12-07,36-45,West
1035,96a6814d-7014-4a2a-8f48-2efb7da826e6,54,M,Delhi,Delhi,Retail,Mass,Credit Card,2025-09-30,46-55,North
1036,ea50c5be-74c0-4ba5-96b3-e902c51bc9b6,45,F,Tamil Nadu,Chennai,Retail,Mass,Personal Loan,2023-09-13,36-45,South
1037,37c7f619-d45a-4901-a9c8-ad833b42ebf9,57,M,Karnataka,Bengaluru,Retail,Mass,None,2021-09-20,56-65,South
1038,826054f3-4869-4c04-9cdb-2913d633cc1e,37,F,Delhi,Delhi,Retail,Mass,Credit Card,2024-01-29,36-45,North
1039,174e8c1b-f575-4eb3-aecf-79b3e08bf463,66,M,Delhi,Delhi,Retail,Premium,Credit Card,2023-11-25,65+,North
1040,9e1302b0-e662-4c7c-8681-bc896bd08ed3,32,F,Maharashtra,Mumbai,Retail,Mass,Auto Loan,2020-07-31,26-35,West
1041,cdbd1963-1c7a-4d65-9294-962115e65349,28,M,Maharashtra,Mumbai,Retail,Mass,Credit Card,2020-08-06,26-35,West
1042,0478c573-f996-4552-bda1-556c311aee45,23,M,Tamil Nadu,Chennai,Retail,Premium,Credit Card,2023-06-19,18-25,South
1043,a3556a05-3dbd-482b-ae53-c1a86cc42970,65,F,Tamil Nadu,Chennai,Retail,Mass,Personal Loan,2025-10-05,56-65,South
1044,638bf018-835f-46d7-86d5-06613692ba0a,47,M,Tamil Nadu,Chennai,Retail,Mass,Credit Card,2022-04-14,46-55,South
1045,525772e0-837f-4c8d-8282-e08c33454a40,33,M,Maharashtra,Mumbai,Retail,Mass,Credit Card,2022-02-02,26-35,West
1046,1bf12b87-2b3d-49f8-a726-58c6bdc1ca4b,52,O,Karnataka,Bengaluru,Retail,Mass,Personal Loan,2020-12-31,46-55,South
1047,1c7c1bb2-dc6c-4d01-a6ce-98a828ee73f6,46,F,Maharashtra,Mumbai,Retail,Mass,Home Loan,2020-10-23,46-55,West
1048,0fa43646-c317-48b2-9177-c9ea0b29bbf8,61,F,Maharashtra,Pune,Retail,Mass,Personal Loan,2022-07-23,56-65,West
1049,2947eb54-924f-417e-bfbb-44e77fb8ac28,19,F,Uttar Pradesh,Noida,Retail,Mass,Credit Card,2025-06-01,18-25,North
1050,f796efad-d752-4eb1-b580-d8f2ba6d9155,34,F,Karnataka,Bengaluru,Retail,Mass,Personal Loan,2024-08-21,26-35,South
1051,517849b9-374b-4d63-802f-25ccc9795488,32,F,Tamil Nadu,Chennai,Retail,Wealth,Credit Card,2022-01-29,26-35,South
1052,7398b6b0-fac0-47e6-ad51-3365cfe7aa5d,18,F,Maharashtra,Mumbai,Retail,Mass,Auto Loan,2022-09-05,18-25,West
1053,b78ae0f5-a6c7-4c00-96fb-1a23f1682b2a,50,M,Karnataka,Bengaluru,Retail,Mass,Personal Loan,2023-08-14,46-55,South
1054,6de4f8b1-b9a2-476a-bba9-c02708a0851f,34,M,Maharashtra,Mumbai,Retail,Mass,Credit Card,2023-10-21,26-35,West
1055,fd2f2ebb-883b-4968-95c1-610302b353a6,46,F,Karnataka,Bengaluru,Retail,Premium,Credit Card,2022-02-12,46-55,South
1056,9e24d6e5-bf14-40c1-83f5-fa6393782795,66,F,Tamil Nadu,Chennai,Retail,Premium,Auto Loan,2023-09-10,65+,South
1057,50fdc734-86a7-4690-889c-7c538962c84b,33,M,West Bengal,Kolkata,Retail,Premium,Personal Loan,2025-02-26,26-35,East
1058,06afe026-940d-40ba-a5e7-d8f4cec5bf45,32,M,Karnataka,Bengaluru,Retail,Mass,Home Loan,2020-08-22,26-35,South
1059,e6cda9f7-0833-4684-a735-0062220b6e93,39,M,Telangana,Hyderabad,Retail,Mass,Credit Card,2024-02-03,36-45,South
1060,77810f9e-4dd0-4c79-9c53-203b6b099b23,49,M,Maharashtra,Pune,Retail,Premium,Credit Card,2024-06-23,46-55,West
1061,e98f2439-4468-43ad-8323-408a6ed7caac,31,F,Rajasthan,Jaipur,Retail,Mass,Credit Card,2025-08-16,26-35,North
1062,f4fafddb-7a05-45d0-afbd-e70553be6800,30,M,Tamil Nadu,Chennai,Corporate,Wealth,Credit Card,2023-06-09,26-35,South
1063,16751f49-c416-4e47-95e8-ee35a97452a1,50,F,Karnataka,Bengaluru,Retail,Mass,Credit Card,2020-08-08,46-55,South
1064,d71a9a52-0a83-4e33-93e4-a5589f2b4fb4,42,F,Tamil Nadu,Chennai,Retail,Mass,Personal Loan,2025-02-16,36-45,South
1065,28f05902-3758-41ad-85f8-d5d9dba82b50,18,F,Karnataka,Bengaluru,Retail,Mass,Credit Card,2024-08-30,18-25,South
1066,190df858-f440-477e-9331-4e2c4d65fe4b,23,M,Kerala,Kochi,Retail,Mass,Credit Card,2025-01-09,18-25,South
1067,e3cfd070-9e09-453e-ab59-96cec0d03baf,56,F,Delhi,Delhi,SME,Premium,Credit Card,2025-06-27,56-65,North
1068,f5c0f29b-4877-4742-96b3-5265f3acd5fb,42,F,Tamil Nadu,Chennai,Retail,Mass,Personal Loan,2022-09-13,36-45,South
1069,4b58911b-cc70-4547-86f5-ecbd8df22698,28,F,Maharashtra,Mumbai,Retail,Mass,Credit Card,2024-05-15,26-35,West
1070,e4597c6b-b8fe-4914-a7bd-f482416873cc,35,M,Delhi,Delhi,Retail,Premium,Credit Card,2021-11-21,26-35,North
1071,0ddd30e9-a7cc-44ba-814d-6c38db10d8a8,38,M,Gujarat,Ahmedabad,Retail,High Value,Credit Card,2023-10-23,36-45,West
1072,e8ba9459-60f7-4cb3-b810-a37ab5617c2e,46,F,Tamil Nadu,Chennai,Retail,Premium,Auto Loan,2022-07-09,46-55,South
1073,7ebcb0ed-a215-41d7-9cad-1df6e5aa340b,21,M,Delhi,Delhi,Retail,Wealth,Credit Card,2025-07-07,18-25,North
1074,b70b9990-fe4a-4502-b56c-c4e026b288b7,27,M,West Bengal,Kolkata,Corporate,High Value,Credit Card,2024-03-14,26-35,East
1075,c5e2c5d2-c266-4346-b852-005b20ae9d4b,41,F,Uttar Pradesh,Noida,SME,Mass,Personal Loan,2023-09-26,36-45,North
1076,5de4f1a7-0988-4ddc-b8fc-af4926140258,36,F,Karnataka,Bengaluru,Retail,High Value,None,2025-09-04,36-45,South
1077,ce9981b3-65f9-4ed9-a518-6644c1a6dcdc,44,M,Telangana,Hyderabad,Corporate,Wealth,Personal Loan,2023-09-16,36-45,South
1078,3047c5eb-4ef8-4c45-9ba5-876ef19cb792,23,M,Delhi,Delhi,Retail,Mass,Credit Card,2023-06-06,18-25,North
1079,5ae4ed1a-2197-46cb-981a-5d41e340b268,42,M,Tamil Nadu,Chennai,Retail,Premium,Personal Loan,2023-10-17,36-45,South
1080,db2693a0-6333-4908-87bd-a994689a16ea,51,F,Karnataka,Bengaluru,SME,Mass,Personal Loan,2023-03-30,46-55,South
1081,f332b7f3-21cf-4b44-884d-a00180e265bf,43,F,Karnataka,Bengaluru,Retail,Premium,Home Loan,2021-08-21,36-45,South
1082,6bc04783-b086-4477-8276-dd22a8037898,39,M,West Bengal,Kolkata,Retail,Mass,Personal Loan,2021-10-13,36-45,East
1083,0b5cb2e5-5fbf-4b0e-a409-d31f1c1a5bf1,36,M,West Bengal,Kolkata,Retail,Premium,Personal Loan,2025-12-04,36-45,East
1084,08ff3843-f0a6-4945-b428-1a5aa6dd964a,27,M,Uttar Pradesh,Noida,Retail,Mass,Personal Loan,2022-07-01,26-35,North
1085,9db6ca01-4e17-4c58-b28d-2d2cdd5510a6,37,M,Kerala,Kochi,Retail,Mass,None,2021-01-19,36-45,South
1086,8bc1d6cc-2426-46bc-8d8a-fb6dfece7ca1,53,F,Maharashtra,Pune,Retail,Mass,Home Loan,2021-03-26,46-55,West
1087,9311013f-fae1-41de-841c-1283ed74282e,36,M,Maharashtra,Pune,Retail,Premium,Auto Loan,2024-03-26,36-45,West
1088,86fdd06f-aaeb-40d0-be9f-2072001c990c,27,M,Maharashtra,Pune,Retail,Mass,Auto Loan,2021-09-19,26-35,West
1089,64854bc9-c8b2-4482-bae8-7fb3cc10acb4,32,M,Delhi,Delhi,Retail,Premium,Auto Loan,2021-08-14,26-35,North
1090,24402411-4497-43df-b228-e94594fd20a9,40,M,Delhi,Delhi,Retail,Mass,Credit Card,2024-01-01,36-45,North
1091,25e9543d-ffdc-40e6-903d-b65ad0156b6e,33,F,Karnataka,Bengaluru,Retail,Mass,Personal Loan,2021-03-30,26-35,South
1092,28a82b5c-2a31-4e45-aa21-f9e90528517e,43,F,Tamil Nadu,Chennai,Retail,Mass,Personal Loan,2022-07-17,36-45,South
1093,11dc05dd-b484-46f6-96dc-5ef1eb7a0259,44,F,Karnataka,Bengaluru,Retail,High Value,Personal Loan,2021-11-21,36-45,South
1094,e24f9326-1f3c-42da-9e41-d25e5b0471e8,48,M,Karnataka,Bengaluru,Retail,Mass,Credit Card,2021-11-29,46-55,South
1095,5a2b89a6-6205-453c-a2e8-536eaa92ac24,55,F,Telangana,Hyderabad,Retail,Premium,Personal Loan,2021-09-22,46-55,South
1096,a551f087-6665-419a-8bf9-91ac9c687aee,49,M,Delhi,Delhi,SME,Mass,Personal Loan,2020-10-06,46-55,North
1097,e2b3bc35-8698-4bde-a783-65245ed6c9d5,26,F,Karnataka,Bengaluru,Retail,Premium,Credit Card,2021-04-23,26-35,South
1098,7d8f1e0d-4547-4a40-86a9-bedfbefb0635,27,F,Haryana,Gurugram,Retail,Mass,Personal Loan,2023-09-10,26-35,North
1099,7bc353b8-eb03-419f-ae9f-4ad88160138a,37,M,Uttar Pradesh,Noida,Retail,Mass,Personal Loan,2022-12-04,36-45,North
1100,a1194578-c8a8-48ef-86de-9e039af262f2,32,F,Maharashtra,Mumbai,Retail,Mass,Personal Loan,2022-06-15,26-35,West
1101,0c4f365f-c90e-44f5-a8e4-d52ec1416dfd,24,M,Maharashtra,Mumbai,Retail,Mass,Credit Card,2021-04-24,18-25,West
1102,55e6bd21-e99e-452f-b624-3eea4208fb72,32,F,Karnataka,Bengaluru,Retail,Mass,Personal Loan,2023-11-08,26-35,South
1103,a788d083-fb01-4803-aadb-77efa5358a0c,32,M,Haryana,Gurugram,Retail,Mass,Personal Loan,2024-04-16,26-35,North
1104,62b7a667-ffaa-4789-baf0-485ab5342bb2,29,M,Uttar Pradesh,Noida,Corporate,Mass,Personal Loan,2021-12-18,26-35,North
1105,6ad61567-82ca-40db-8efa-2a3c6f48303e,34,M,Maharashtra,Mumbai,Retail,Wealth,Home Loan,2020-10-11,26-35,West
1106,f61aa9ce-679b-4b3a-ba50-18f0f6e7755b,52,M,Maharashtra,Pune,Retail,Mass,Personal Loan,2021-01-04,46-55,West
1107,f6cc4e94-5f86-4b49-bb25-de904cf9925f,40,M,Maharashtra,Mumbai,Retail,High Value,Personal Loan,2025-03-12,36-45,West
1108,ef77947f-ba54-4a2a-89b8-47e14d9f17aa,67,M,Delhi,Delhi,SME,Mass,Auto Loan,2020-12-20,65+,North
1109,b58b2e00-d31e-47a5-a9f4-258e05765e8f,40,F,Andhra Pradesh,Visakhapatnam,Corporate,Mass,Auto Loan,2021-09-06,36-45,South
1110,99502b14-dcfa-4d8b-a8e6-23ee40462269,34,M,Maharashtra,Mumbai,Retail,Mass,Personal Loan,2025-02-21,26-35,West
1111,df0d049d-7cf6-42e8-a5c0-765e0a012a7d,38,M,Maharashtra,Mumbai,Retail,Mass,Personal Loan,2025-12-19,36-45,West
1112,994a05ef-2012-4a93-af75-dcc2613881d8,41,O,Delhi,Delhi,Retail,Mass,Personal Loan,2024-11-19,36-45,North
1113,3710d89e-2d6e-46ce-be06-98e0421f9769,43,F,Tamil Nadu,Chennai,Retail,High Value,Credit Card,2020-11-30,36-45,South
1114,70a22831-5042-4f0c-9147-00dcd4c8298f,62,M,West Bengal,Kolkata,Retail,Premium,Personal Loan,2021-11-14,56-65,East
1115,1008665b-7370-4fc2-849d-d2d519223b9a,27,M,Andhra Pradesh,Vijayawada,Retail,Mass,Auto Loan,2022-11-08,26-35,South
1116,7a42ad92-e816-46f5-9259-0e176ace0fff,48,F,Maharashtra,Mumbai,SME,Mass,Home Loan,2022-07-19,46-55,West
1117,ea553f84-cf86-4ada-a969-b0e9456fb98c,40,F,Maharashtra,Mumbai,Retail,Mass,Credit Card,2023-09-28,36-45,West
1118,eb8ebc90-5177-462e-9d67-910ba871b64b,19,M,Haryana,Gurugram,Retail,Premium,Personal Loan,2021-01-17,18-25,North
1119,fc4d4598-208b-41e4-92dd-babdd92efc66,47,F,Karnataka,Bengaluru,Retail,Mass,Auto Loan,2025-02-23,46-55,South
1120,2552c365-04a6-4f90-9e02-7990e291237e,53,M,Gujarat,Ahmedabad,Retail,Mass,Credit Card,2024-04-14,46-55,West
1121,51520d26-f2e3-461b-982b-a3b1c37c82bb,27,M,Tamil Nadu,Chennai,Retail,Mass,Home Loan,2024-11-26,26-35,South
1122,af977642-7956-4fba-8b9b-f096b65b1fd3,37,F,Maharashtra,Mumbai,Retail,Mass,Personal Loan,2021-05-11,36-45,West
1123,92a8ac7d-7813-48ff-827e-ba030daa4ddc,18,F,Uttar Pradesh,Noida,Retail,Premium,Credit Card,2023-01-17,18-25,North
1124,cd3ac170-c60d-43eb-aa3c-88318c092844,22,F,Maharashtra,Mumbai,Retail,Mass,Home Loan,2022-04-05,18-25,West
1125,cdbd84ca-7f2d-4ac9-8f4b-8ec41ad72f68,50,M,Delhi,Delhi,Retail,Mass,None,2020-12-20,46-55,North
1126,e9444576-faab-4ceb-b2b6-4e9e74432444,32,M,Telangana,Hyderabad,Retail,High Value,Credit Card,2024-12-07,26-35,South
1127,303df8a4-7ae1-453f-844e-d87775ae5bd8,24,M,Telangana,Hyderabad,Retail,Wealth,Credit Card,2020-09-21,18-25,South
1128,00f8932e-7fe7-4ad2-9f88-2d0e7525dbc2,40,M,Tamil Nadu,Chennai,Retail,Mass,Credit Card,2025-04-24,36-45,South
1129,a52b367d-e1c8-48d3-a887-91afceeafe02,31,M,Tamil Nadu,Chennai,Corporate,Mass,Credit Card,2021-11-15,26-35,South
1130,73feb532-e998-4bf7-a50b-c01bdfc6d975,32,M,Andhra Pradesh,Visakhapatnam,SME,Premium,Auto Loan,2022-02-26,26-35,South
1131,41d445c3-481a-40eb-885d-c36108ecd960,46,M,Andhra Pradesh,Visakhapatnam,Retail,Mass,Credit Card,2021-06-26,46-55,South
1132,903d1482-ba9a-42cf-a544-629ab830a96e,24,F,Telangana,Hyderabad,Retail,Mass,Personal Loan,2025-02-19,18-25,South
1133,87ae9cb0-d550-47b3-9fd7-2647e1b39640,27,M,Maharashtra,Mumbai,Retail,Mass,Personal Loan,2020-09-30,26-35,West
1134,5d9e248e-b689-46cb-a51b-ad61358939df,39,M,Maharashtra,Pune,Retail,Mass,Credit Card,2021-08-27,36-45,West
1135,64f4eee8-3cf2-45e8-bcca-2062a48d484c,49,F,Kerala,Kochi,Retail,Wealth,Auto Loan,2025-05-25,46-55,South
1136,5f32c2ff-dcaf-4887-b1e9-a15c45a4b960,52,M,Karnataka,Bengaluru,Retail,Premium,Personal Loan,2022-12-14,46-55,South
1137,ba38734d-6f86-4e69-a959-95e1297197dc,30,F,Delhi,Delhi,Retail,Wealth,Credit Card,2021-07-12,26-35,North
1138,fb17dc72-d7ad-4bfe-90d1-4e7d400e7ef1,49,M,Delhi,Delhi,Retail,Premium,Auto Loan,2023-05-24,46-55,North
1139,972da80f-cc2c-4797-9bba-5b64e782c784,28,M,Maharashtra,Mumbai,Retail,Premium,Credit Card,2023-12-02,26-35,West
1140,ebf1ce2a-877b-4647-b8cf-4f5ee68fa6c6,59,F,Tamil Nadu,Chennai,Retail,Premium,Personal Loan,2024-06-29,56-65,South
1141,cad110bd-d66e-4bc9-ae2a-f363f950a51d,24,F,Delhi,Delhi,Retail,Premium,Credit Card,2023-03-07,18-25,North
1142,ba4f6e14-5187-4293-99a9-d3ea5ec01465,53,F,Haryana,Gurugram,Retail,Mass,Credit Card,2020-08-13,46-55,North
1143,cbdc9285-0556-4917-9a10-c4be9cc08e48,30,F,Uttar Pradesh,Noida,Retail,Mass,Personal Loan,2022-09-04,26-35,North
1144,b801ff6a-25c9-4cff-bb29-b9ff06ae1bf4,62,M,Haryana,Gurugram,Retail,Mass,Credit Card,2022-01-18,56-65,North
1145,ac190f70-cd11-4694-adb0-c8260b11801b,45,F,Delhi,Delhi,Retail,Mass,Credit Card,2021-09-25,36-45,North
1146,8d0f40bd-5d51-43a4-817a-310b67e0fc49,25,F,Karnataka,Bengaluru,Retail,Mass,Credit Card,2021-09-28,18-25,South
1147,9c0d02ed-a210-486a-9192-1b517c5a8e8a,31,F,Maharashtra,Pune,Corporate,Mass,Credit Card,2023-10-24,26-35,West
1148,adc2ad1b-e8a6-4e6a-9ea9-c05dca4525f9,47,M,Haryana,Gurugram,Retail,Mass,Personal Loan,2021-10-17,46-55,North
1149,4655ff93-09b7-4bbc-9976-f954a3be2541,50,M,Delhi,Delhi,SME,Mass,Personal Loan,2024-03-16,46-55,North
1150,5afc3ed9-33c6-44f4-b6a4-735955861c63,37,F,Gujarat,Ahmedabad,Retail,Mass,Personal Loan,2022-10-21,36-45,West
1151,f861ef02-f890-4b01-b4bb-47bcb9f761f6,38,M,Maharashtra,Mumbai,Retail,Mass,Personal Loan,2024-05-07,36-45,West
1152,0ca20db7-cdee-4425-b790-efb09770520b,47,M,Gujarat,Ahmedabad,Retail,Mass,Credit Card,2020-11-09,46-55,West
1153,621489ff-c900-486c-8d10-e8267db82073,39,M,Maharashtra,Mumbai,Retail,Wealth,Personal Loan,2022-01-02,36-45,West
1154,4db2bdb3-8ae6-4410-b79f-0881645f9da4,22,M,Maharashtra,Mumbai,Retail,Mass,Credit Card,2022-10-22,18-25,West
1155,5f6c908b-8159-498e-b4d4-1e3059766c47,28,M,Telangana,Hyderabad,Corporate,Mass,Personal Loan,2023-07-13,26-35,South
1156,17e49df9-7466-4a86-832f-d126dff093b7,40,M,Maharashtra,Mumbai,Retail,Mass,Personal Loan,2023-02-26,36-45,West
1157,fb6aa0b7-8aff-4bf7-9f94-7282ec03ba65,52,M,Maharashtra,Mumbai,Retail,Premium,Personal Loan,2021-09-25,46-55,West
1158,8f6914bc-c5ad-4707-aee2-d0629967858a,57,M,Maharashtra,Mumbai,Retail,Premium,Credit Card,2024-07-03,56-65,West
1159,d055c476-605d-4864-adad-925aa1c457a0,47,F,Delhi,Delhi,Retail,Mass,Credit Card,2021-06-20,46-55,North
1160,662d2227-1323-4c16-8d82-e4a11aac972b,41,M,Maharashtra,Pune,Retail,Mass,Home Loan,2024-06-17,36-45,West
1161,f355f1cb-523f-4023-a958-2c87b01c32b0,46,M,Maharashtra,Mumbai,Retail,Premium,Personal Loan,2025-03-24,46-55,West
1162,33373f76-91a3-46c7-8e24-26f4c44b518c,29,M,Tamil Nadu,Chennai,Retail,High Value,Credit Card,2021-12-20,26-35,South
1163,51b16b07-8c65-4adb-8855-6a97d78004a9,36,M,Haryana,Gurugram,Retail,Mass,Home Loan,2022-02-15,36-45,North
1164,2d03f58e-4940-4a3c-a728-ada6cf773544,28,F,Maharashtra,Mumbai,Retail,Mass,Personal Loan,2024-03-03,26-35,West
1165,e95fd56e-9963-432c-8db8-9461f351126b,23,F,Maharashtra,Mumbai,Retail,Mass,Personal Loan,2022-06-14,18-25,West
1166,2b409d2c-cb8e-4dca-803c-1aa5ecfb60af,42,M,Uttar Pradesh,Noida,Retail,Mass,Personal Loan,2022-01-05,36-45,North
1167,3469a4c5-d5f5-4c27-ace9-aee683b52ef7,40,M,Haryana,Gurugram,Retail,Premium,Personal Loan,2021-09-09,36-45,North
1168,969a8fb0-55f3-4e44-8010-6643184597d6,46,M,Telangana,Hyderabad,Retail,Wealth,Auto Loan,2020-10-14,46-55,South
1169,61306404-c657-4075-a620-b1bdd567e60e,44,M,Haryana,Gurugram,Retail,Wealth,Credit Card,2021-04-29,36-45,North
1170,fc3e303a-248a-4c5b-8cc7-28cf34864f5b,40,M,Maharashtra,Mumbai,Retail,Premium,Credit Card,2023-08-07,36-45,West
1171,ab287fa8-976d-49d5-a1e1-c4e990208133,44,M,Delhi,Delhi,Retail,Mass,Home Loan,2024-09-28,36-45,North
1172,74bdd7f9-42a4-4fcc-a308-ec0833a5f214,37,M,Maharashtra,Pune,Retail,Wealth,Credit Card,2025-06-21,36-45,West
1173,80b8655a-62ef-4c7a-9722-a467b7bb7b5c,42,F,Karnataka,Bengaluru,Retail,Mass,Credit Card,2022-11-11,36-45,South
1174,0ec0eeb4-0de7-4199-8013-09ed2ffc996a,29,M,Maharashtra,Pune,Retail,Mass,Personal Loan,2022-05-09,26-35,West
1175,a039fd9a-f3c1-4ba1-a0e7-dc7f325d9314,42,M,Telangana,Hyderabad,Retail,Premium,Credit Card,2022-03-22,36-45,South
1176,54df7c43-78ae-47e1-81be-4805b78814bc,46,M,Maharashtra,Pune,Retail,Mass,Personal Loan,2025-12-13,46-55,West
1177,9c9f460f-c119-4d7b-934c-ce53cd1cb7c4,29,M,Delhi,Delhi,Retail,Premium,Personal Loan,2022-03-01,26-35,North
1178,4355869b-0159-410b-ad2c-7675331f9288,38,M,Delhi,Delhi,Retail,Wealth,Personal Loan,2021-09-10,36-45,North
1179,0265570c-2400-44ab-b5bf-fda57af4fb26,30,M,Karnataka,Bengaluru,Retail,Premium,Credit Card,2022-01-19,26-35,South
1180,c1b2207f-e322-45a2-8fdc-c5d389d7f250,31,M,Karnataka,Bengaluru,Retail,Premium,Credit Card,2023-02-15,26-35,South
1181,0f2cc0e7-b163-41ff-9e17-d99bc75bbfc0,24,M,Maharashtra,Pune,Corporate,Mass,Credit Card,2025-12-02,18-25,West
1182,796759ff-1ffb-4b91-b0c2-6a59d2f07eef,53,F,Maharashtra,Mumbai,Retail,Mass,Personal Loan,2023-04-28,46-55,West
1183,a024c325-df00-4df4-9a8b-c886b25d7004,50,F,Maharashtra,Mumbai,Retail,Premium,None,2022-06-22,46-55,West
1184,9f147020-ec98-4707-96d2-10e0a4e7289a,44,M,Maharashtra,Mumbai,Retail,Mass,Personal Loan,2022-11-20,36-45,West
1185,af962eb5-bb40-44d8-84c3-78fb0e453e3d,61,M,Maharashtra,Mumbai,Retail,High Value,Home Loan,2022-11-09,56-65,West
1186,12466be2-02af-4a42-bd2f-e5babe0cf99a,35,F,Haryana,Gurugram,Retail,Mass,Credit Card,2023-03-06,26-35,North
1187,3de070ea-b1d7-42d3-8e50-1d666620ceda,74,F,Delhi,Delhi,Retail,Mass,Credit Card,2022-12-24,65+,North
1188,f8ea32fd-50f1-4ecf-8dd5-802841acf7de,35,M,Andhra Pradesh,Visakhapatnam,Retail,Mass,Credit Card,2024-03-25,26-35,South
1189,4ac8fa23-8784-42c2-8449-7d9cae00f890,41,M,Maharashtra,Mumbai,Retail,Premium,Home Loan,2022-09-10,36-45,West
1190,0f1c3720-9208-441a-8511-6b5065d83ea3,33,M,Tamil Nadu,Chennai,Retail,Premium,Credit Card,2024-06-17,26-35,South
1191,d0835525-4fa5-4b95-a1e4-20ee814ddd7b,42,F,Delhi,Delhi,Retail,Wealth,Personal Loan,2023-04-25,36-45,North
1192,e25162b7-1751-49c6-869f-6c92042adc82,48,M,Delhi,Delhi,Retail,Mass,Home Loan,2023-09-24,46-55,North
1193,a8e5b3a5-94d5-4912-9559-b5ab1417a1eb,36,M,Gujarat,Ahmedabad,Retail,Mass,Personal Loan,2022-02-03,36-45,West
1194,8c9e506f-b436-4d10-8617-f7615243f779,59,M,Kerala,Kochi,Retail,Mass,Credit Card,2021-02-07,56-65,South
1195,c66fc935-3a38-4936-af32-7fdaf9dbdbb7,40,M,Gujarat,Ahmedabad,Retail,Mass,Credit Card,2022-07-15,36-45,West
1196,5b721bcb-5ec5-4a67-9d33-ea3fe4c57081,41,M,Maharashtra,Mumbai,Retail,Mass,Home Loan,2025-04-06,36-45,West
1197,e141b93b-c9a8-4e85-bd06-b9699be729ab,27,F,Karnataka,Bengaluru,Corporate,Mass,Credit Card,2022-05-07,26-35,South
1198,96d2ef6f-f036-4a6f-961f-d546de336279,43,M,Tamil Nadu,Chennai,SME,Mass,Personal Loan,2024-03-23,36-45,South
1199,58e2e9b7-daaf-4a4c-b587-521f026cc46f,36,M,Karnataka,Bengaluru,Retail,Mass,Credit Card,2025-09-25,36-45,South
1200,eb54992d-ad50-44aa-b2ac-e5e6aef6950a,30,M,Maharashtra,Pune,Retail,Premium,Personal Loan,2024-12-13,26-35,West
1201,43cf81f7-180a-436c-a50c-06bb8d53b858,28,F,Telangana,Hyderabad,Retail,Premium,Credit Card,2020-07-13,26-35,South
1202,f5918e6b-9be2-451a-ace6-9027996d47c8,70,M,Telangana,Hyderabad,Retail,Mass,Credit Card,2023-08-31,65+,South
1203,273ba173-a65d-4dea-90c6-5527e79eeef1,34,M,Haryana,Gurugram,Retail,Mass,Home Loan,2024-11-24,26-35,North
1204,207643e2-9ec0-4d3a-aa3f-f7ee2d42b793,20,M,Maharashtra,Pune,SME,Premium,Personal Loan,2025-04-10,18-25,West
1205,c050e3fc-6e8f-4742-bfe4-8da23aafe263,29,F,Maharashtra,Mumbai,Retail,Premium,Personal Loan,2022-06-11,26-35,West
1206,76e1098f-8904-45a7-9073-a9fe5e133860,37,F,Maharashtra,Mumbai,Retail,Premium,Credit Card,2021-11-02,36-45,West
1207,fd1d0cd4-fa82-45c6-914a-a076f1e6e3b6,44,F,Tamil Nadu,Chennai,Retail,Mass,Personal Loan,2024-01-26,36-45,South
1208,a9e3d828-d6c4-4cf4-845f-2ab7e9d1d035,44,F,Delhi,Delhi,Retail,Mass,Personal Loan,2025-06-09,36-45,North
1209,b70b6daf-fa0a-4f4b-b7f2-e58dc63e4ca6,46,M,Karnataka,Bengaluru,SME,High Value,Credit Card,2024-01-23,46-55,South
1210,809ea9a9-b163-4598-bd35-cfeeae3740e5,30,M,Delhi,Delhi,Retail,Mass,Credit Card,2022-05-12,26-35,North
1211,1480d8c3-ffc1-4a18-a142-13aa48d87bfa,42,M,Maharashtra,Pune,Retail,Mass,Personal Loan,2025-05-19,36-45,West
1212,92acbc79-26b5-4dbb-85a1-bc46dcd2a0d8,27,F,Haryana,Gurugram,SME,Wealth,Credit Card,2024-07-15,26-35,North
1213,efbe3c63-7fc2-4151-bd53-450f514d8027,30,F,Telangana,Hyderabad,Retail,Mass,Auto Loan,2025-12-28,26-35,South
1214,0bbb0475-bc75-450e-99da-c6ba4bbe0776,26,M,Delhi,Delhi,Retail,Premium,Credit Card,2023-06-02,26-35,North
1215,17832daf-0d10-4858-a7aa-4be7dd04f0ba,23,F,Karnataka,Bengaluru,Retail,High Value,Personal Loan,2025-01-25,18-25,South
1216,c1f8fd1c-1d7b-4ba3-8ceb-8208f879fc5f,50,M,Telangana,Hyderabad,Retail,Mass,Personal Loan,2024-11-28,46-55,South
1217,f38e3e1d-ada9-4537-9233-eb0ab4c92a4e,46,M,Karnataka,Bengaluru,Retail,Premium,Personal Loan,2025-05-20,46-55,South
1218,df9a5faa-7568-415a-a277-0d52c7d09121,49,M,Telangana,Hyderabad,Retail,Mass,Credit Card,2022-01-02,46-55,South
